id;date;x;y
29;02/06/2019 16:10;47.23089981;-2.383899927
3;02/06/2019 16:10;47.22687149;-2.385750055
31;02/06/2019 16:10;47.22932053;-2.384890079
34;02/06/2019 16:10;47.23429871;-2.38470006
36;02/06/2019 16:10;47.23130035;-2.384000063
38;02/06/2019 16:10;47.21310043;-2.403899908
39;02/06/2019 16:10;47.23590088;-2.384799957
4;02/06/2019 16:10;47.23397827;-2.386389971
40;02/06/2019 16:10;47.23575974;-2.390889883
43;02/06/2019 16:10;47.23838043;-2.388469934
45;02/06/2019 16:10;47.23186111;-2.385090113
48;02/06/2019 16:10;47.23495102;-2.38579011
5;02/06/2019 16:10;47.23189926;-2.382499933
6;02/06/2019 16:10;47.23646927;-2.384730101
7;02/06/2019 16:10;47.23376846;-2.384959936
1;02/06/2019 16:10;47.23715973;-2.386699915
27;02/06/2019 16:10;47.23410034;-2.384299994
42;02/06/2019 16:10;47.23244095;-2.386059999
47;02/06/2019 16:10;47.23064041;-2.383339882
1;02/06/2019 16:15;47.23563004;-2.391200066
10;02/06/2019 16:15;47.23189926;-2.383300066
11;02/06/2019 16:15;47.23471069;-2.383539915
12;02/06/2019 16:15;47.23180008;-2.382699966
14;02/06/2019 16:15;47.23059845;-2.383399963
15;02/06/2019 16:15;47.23405075;-2.388210058
16;02/06/2019 16:15;47.23360062;-2.383500099
17;02/06/2019 16:15;47.23809814;-2.398799896
19;02/06/2019 16:15;47.22571945;-2.382369995
21;02/06/2019 16:15;47.23249817;-2.383699894
22;02/06/2019 16:15;47.23588181;-2.391360044
24;02/06/2019 16:15;47.2282486;-2.381880045
28;02/06/2019 16:15;47.23165131;-2.384670019
29;02/06/2019 16:15;47.22880173;-2.3822999
3;02/06/2019 16:15;47.23271179;-2.392060041
31;02/06/2019 16:15;47.229599;-2.384229898
32;02/06/2019 16:15;47.2342186;-2.39309001
34;02/06/2019 16:15;47.2322998;-2.384000063
35;02/06/2019 16:15;47.23030853;-2.382829905
36;02/06/2019 16:15;47.22819901;-2.381400108
38;02/06/2019 16:15;47.22000122;-2.404099941
39;02/06/2019 16:15;47.23089981;-2.38380003
4;02/06/2019 16:15;47.23178101;-2.383650064
40;02/06/2019 16:15;47.23165131;-2.383009911
41;02/06/2019 16:15;47.23130035;-2.38470006
44;02/06/2019 16:15;47.2349205;-2.38579011
45;02/06/2019 16:15;47.2277298;-2.381059885
47;02/06/2019 16:15;47.23506927;-2.385540009
6;02/06/2019 16:15;47.23516083;-2.385890007
7;02/06/2019 16:15;47.22917175;-2.381479979
33;02/06/2019 16:15;47.22850037;-2.381999969
1;02/06/2019 16:20;47.23147964;-2.383949995
10;02/06/2019 16:20;47.22750092;-2.381799936
11;02/06/2019 16:20;47.23220062;-2.384380102
12;02/06/2019 16:20;47.23220062;-2.38380003
13;02/06/2019 16:20;47.23009872;-2.382999897
14;02/06/2019 16:20;47.23130035;-2.38319993
16;02/06/2019 16:20;47.23099899;-2.380399942
17;02/06/2019 16:20;47.23450089;-2.387399912
18;02/06/2019 16:20;47.22840118;-2.381900072
2;02/06/2019 16:20;47.23020172;-2.382400036
